id;Название плейлиста;Название видео;Дата публикации видео;Количество просмотров видео;Количество лайков под видео;Количество дизлайков под видео;Количество добавлений видео в избранное;Количество комментариев под видео;Продолжительность видео в секундах
26M5RSwQlHU;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Объект 430У-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-08-27T07:00:01Z;97877;5877;128;0;756;1890
boN-csJepv4;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Т-22 СР.-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-08-25T07:00:04Z;95989;6317;169;0;895;1695
cvxzuqR_zq4;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);СТ-II-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-08-23T07:00:18Z;84725;4333;98;0;592;2097
R2SCrQolJZo;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Е 100-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-08-21T07:00:03Z;61210;4902;75;0;677;1906
cDTCgsrj-m8;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);ИС-4-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-08-19T07:00:12Z;98846;5778;120;0;784;1765
-JjY5UdFcw0;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);STB-1-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-08-17T07:00:01Z;123058;5890;154;0;854;1916
_Sc0PLE8hi4;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Т110Е5-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-08-15T07:00:05Z;86095;6489;105;0;1727;1686
-bGd-Q-SHJc;ТАНКИ ЗА БОНЫ;КАК ИГРАТЬ НА СТГ ГВАРДЕЕЦ (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-03T07:00:00Z;140739;6942;344;0;2099;2718
W4uGNmKJ0Fg;ТАНКИ ЗА БОНЫ;КАК ИГРАТЬ НА AMX M4 mle. 49 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-05T07:00:19Z;162514;8764;557;0;2273;2873
OA_4NRq2u4Y;ТАНКИ ЗА БОНЫ;КАК ИГРАТЬ НА Т26Е5 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-07T07:00:09Z;144371;6897;368;0;1554;2355
WoRzBVPgvMI;ТАНКИ ЗА БОНЫ;КАК ИГРАТЬ НА PANZER 58 MUTZ (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-27T07:00:08Z;55048;3349;87;0;661;2292
gx3_t3H_5xo;ТАНКИ ЗА БОНЫ;КАК ИГРАТЬ НА ИС-5 (ОБЪЕКТ 730) (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-10T07:00:08Z;106868;5192;317;0;695;2243
a0WgE2xo5aw;ТАНКИ ЗА БОНЫ;КАК ИГРАТЬ НА M46 Patton KR (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-12T07:00:01Z;40202;2800;73;0;458;2106
gHF3GW9Sh5s;ТАНКИ ЗА БОНЫ;КАК ИГРАТЬ НА Chrysler K (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-16T07:00:11Z;146854;6248;400;0;682;2288
duS-wmxAZdY;ТАНКИ ЗА БОНЫ;КАК ИГРАТЬ НА КВ-4 КРЕСЛАВСКОГО (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-16T07:00:21Z;57086;4186;94;0;451;2610
6weYYHheKwg;ТАНКИ ЗА БОНЫ;КАК ИГРАТЬ НА ИС-6 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-25T07:00:04Z;144670;6404;269;0;1038;2401
JzHgH-dj5r4;The Last of Us Part II;The Last of Us Part II-ЛУЧШАЯ ИГРА ГОДА-ЭКСКЛЮЗИВ PS4 (ЧАСТЬ 1);2020-06-19T22:47:26Z;78179;4832;199;0;169;18542
MnPRqZbmgIA;The Last of Us Part II;The Last of Us Part II-ЕДЕМ РВАТЬ-ЭКСКЛЮЗИВ PS4 (ЧАСТЬ 2);2020-06-20T23:00:56Z;55021;3640;90;0;220;18592
bU5lEEcIng8;The Last of Us Part II;The Last of Us Part II-ДО САМОГО КОНЦА-БОРЦУХА ИЛИ ЗЛАЯ ЛЕСБА;2020-06-22T01:14:31Z;26351;2033;34;0;33;6965
aAvIfjN6jHc;The Last of Us Part II;The Last of Us Part II-ЛЕСБА ИЛИ БОРЦУХА-ДО ФИНАЛА (ЧАСТЬ 4);2020-06-21T23:19:32Z;49368;3546;109;0;137;17925
UR8yQXPPJZc;Resident Evil 3;Resident Evil 3-ВИРУС ПОЛОМАЛ ЛЁХ-ПРОРЫВАЕМСЯ НА ВОЛЮ (ЧАСТЬ 1);2020-04-03T21:10:19Z;45096;3263;84;0;65;10867
